GOODS_NAME,GOODS_URL
"Сливки 4D уход с гиалуроновой кислотой «Амарант», 100 мл",https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2180304/
"Биогель для умывания, 200 мл",https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2237896/
"Биотоник лифтинг, 150 мл",https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2237897/
"Крем «AfalinaBeauty Anti-Age» с церамидами, 50 мл",https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2408126/
"Крем «AfalinaBeauty Intensive» с коллагеном, 50 мл",https://argo.pro/catalog/kosmetika-po-ukhodu-za-kozhey/2408127/
"Крем массажный с экстрактом сабельника «Эсобел», 50 мл",https://argo.pro/catalog/antitsellyulitnye/360225/
"Масло косметическое «ВитаЭМ»,150 г",https://argo.pro/catalog/antitsellyulitnye/2608755/
"Скраб очищающий «ВитаЭМ», 300 г",https://argo.pro/catalog/antitsellyulitnye/2608757/
"Крем-депилятор «Альфион», 100 мл",https://argo.pro/catalog/depilyatsiya/7268/
"Гель «Эплир», 20 мл",https://argo.pro/catalog/dlya-vek/6971/
"Крем-желе для век расслабляющий, 30 мл",https://argo.pro/catalog/dlya-vek/7082/
"Эмульсия «Рициниол Ясный взор», 15 мл",https://argo.pro/catalog/dlya-vek/7161/
"Патчи с экстрактом царского дерева «Альфион», 10 мл",https://argo.pro/catalog/dlya-vek/1071609/
"Крем вокруг глаз «Секрет улитки», 15 мл",https://argo.pro/catalog/dlya-vek/1125584/
"Концентрат мультивитаминный для век «Амарант», 30 мл",https://argo.pro/catalog/dlya-vek/1613472/
"Маска косметическая «Минеральная», 200 г",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/6862/
"Крем-маска «Княжна», 130 г",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/6870/
"Скраб «Нежный», 130 г",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/6871/
"Скраб «Нежный» «Пудровая нежность», 130 г",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/6872/
"Крем «Ширлайн», 50 мл",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/6973/
"Крем-лифтинг SPF-4, 30 мл",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/7078/
"Крем увлажняющий, 150 мл",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/7081/
"Крем-маска ботанический комплекс-активатор, 75 мл",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/7083/
"Лосьон-тоник успокаивающий безалкогольный, 100 мл",https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/7084/
